,,,,
,,,,
WEEK 1,,,,
,,,,
,Favorite,Line,vs/at,Under Dog
,,,,
"Thursday, August 28, 2025",,,,
,,,,
,Boise State,-10,at,South Florida
,Bowling Green,-13.5,vs,UL Lafayette
,Rutgers,-10.5,vs,Ohio
,LA-Monroe,-22.5,vs,St Francis PA
,UCF,-16.5,at,Jacksonville State
,Delaware,-29.5,at,Delaware State
,NC State,-14,at,East Carolina
,Wyoming,-9.5,vs,Akron
,Duke,-33.5,vs,Elon
,Oklahoma State,-17.5,vs,UT Martin
,Missouri,-36.5,vs,Central Arkansas
,Minnesota,-18.5,vs,Buffalo
,Houston,-22.5,vs,SF Austin
,Nebraska,-6.5,at,Cincinnati
,Wisconsin,-17.5,at,Miami (OH)
,San Diego State,-18.5,at,Stony Brook
,,,,
"Friday, September 29, 2025",,,,
,,,,
,Michigan State,-17.5,at,Western Michigan
,Appalachian State,-8.5,at,UNC Charlotte
,Wake Forest,-17.5,vs,Kennesaw State
,Auburn,-1.5,at,Baylor
,Georgia Tech,-3.5,at,Colorado
,UNLV,-13.5,at,Sam Houston
,San Jose State,-10.5,vs,Central Michigan
,,,,
"Saturday, September 30, 2025",,,,
,,,,
,Purdue,-16.5,vs,Ball State
,Tulane,-7.5,vs,Northwestern
,Tennessee,-14.5,vs,Syracuse
,Maryland,-17.5,vs,FAU
,Mississippi State,-15.5,at,Georgia Southern
,Ohio State,-3.5,vs,Texas
,Kent State,-6.5,at,Merrimack
,Kentucky,-12.5,at,Toledo
,Indiana,-23.5,at,Old Dominion
,Louisville,-38.5,at,Eastern Kentucky
,U Mass,-1.5,at,Temple
,Alabama,-9.5,vs,Florida State
,Georgia,-38.5,at,Marshall
,Penn State,-43.5,at,Nevada
,Virginia,-12.5,at,Coastal Carolina
,Iowa,-37.5,at,Albany
,Kansas State,-25.5,at,North Dakota
,Texas A&M,-21,at,UTSA
,USC,-31.5,at,Missouri State
,Utah State,-3.5,at,UTEP
,Clemson,-2.5,at,LSU
,LA-Tech,-13.5,at,SE Louisiana
,Michigan,-34.5,at,New Mexico
,Ole Miss,-35.5,at,Georgia State
,LA-Lafayette,-14.5,at,Rice
,North Texas,-24.5,at,Lamar
,Texas State,-14.5,at,Eastern Michigan
,Tulsa,-5.5,at,Abilene Christian
,BYU,-43.5,at,Portland State
,New Mexico State,-19.5,at,Bryant
,Fresno State,-1.5,at,Georgia Southern
,Washington State,-13.5,at,Idaho
,Arizona State,-28.5,at,North Arizona
,Arizona,-10.5,at,Hawaii
,Oregon State,-1.5,at,California
,Utah,-3,vs,UCLA
,Washington,-18.5,vs,Colorado State
,,,,
"Sunday, August 31, 2025",,,,
,,,,
,South Carolina,-10.5,vs,Virginia Tech
,Notre Dame,-2.5,at,Miami (FL)
,,,,
"Monday, September 1, 2025",,,,
,,,,
,North Carolina,-2.5,at,TCU
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
