,,,,,,,
,,,,,,,
,,WEEK 11,,,,,
,,,,,,,
,,,Favorite,Line,vs/at,Under Dog,
,,,,,,,
,,"Tuesday, November 4, 2025",,,,,
,,,,,,,
,,,Akron,-9.5,vs,U Mass,
,,,Ohio,-3.5,vs,Miami (OH),
,,,,,,,
,,"Wednesday, November 5, 2025",,,,,
,,,,,,,
,,,Ball State,-3.0,vs,Kent State,
,,,Toledo,-14.5,vs,Northern Illinois,
,,,,,,,
,,"Thursday, November 6, 2025",,,,,
,,,,,,,
,,,South Florida,-12.5,vs,UTSA,
,,,Appalachian State,-5.5,vs,Georgia Southern,
,,,,,,,
,,"Friday, November 7, 2025 ",,,,,
,,,,,,,
,,,Houston,-2.5,at,UCF,
,,,USC,-16.5,vs,Northwestern,
,,,Memphis,-4.5,vs,Tulane,
,,,,,,,
,,"Saturday, November 8, 2025",,,,,
,,,,,,,
,,,West Virginia,-4.5,vs,Colorado,
,,,Indiana,-11.5,at,Penn State,
,,,Southern Miss,-3.5,at,Arkansas State,
,,,Army,-6.5,vs,Temple,
,,,Georgia,-9.5,at,Mississippi State,
,,,SMU,-13.5,at,Boston College,
,,,Texas Tech,-8.5,vs,BYU,
,,,James Madison,-12.5,at,Marshall,
,,,Eastern Michigan,-1.5,vs,Bowling Green,
,,,Liberty,-6.5,vs,Missouri State,
,,,Ohio State,-28.5,a,Purdue,
,,,Rice,-4.5,vs,UAB,
,,,Rutgers,-1.5,vs,Maryland,
,,,Jacksonville State,-1.5,at,UTEP,
,,,LA-Tech,-4.0,at,Delaware,
,,,FAU,-5.5,vs,Tulsa,
,,,East Carolina,-28.5,vs,UNC Charlotte,
,,,FIU,-1.5,at,Middle Tennessee,
,,,Miami (FL),-28.5,vs,Syracuse,
,,,Oregon,-7.5,at,Iowa,
,,,Duke,-10.5,at,UConn,
,,,Texas A&M,-6.5,at,Missouri,
,,,Arizona,-3.5,vs,Kansas,
,,,TCU,-3.0,vs,Iowa State,
,,,Vanderbilt,-5.5,vs,Auburn,
,,,Coastal Carolina,-6.5,vs,Georgia State,
,,,Kennesaw State,-6.5,at,New Mexico State,
,,,Washington,-12.5,at,Wisconsin,
,,,North Carolina,-7.5,vs,Stanford,
,,,Texas State,-3.0,at,LA-Lafayette,
,,,San Jose State,-2.5,vs,Air Force,
,,,Clemson,-16.5,vs,Florida State,
,,,Louisville,-17.5,vs,California,
,,,Virginia,-6.5,vs,Wake Forest,
,,,Florida,-4.5,at,Kentucky,
,,,Alabama,-7.0,vs,LSU,
,,,Utah State,-10.5,vs,Nevada,
,,,Notre Dame,-24.5,vs,Navy,
,,,Nebraska,-4.5,at,UCLA,
,,,UNLV,-6.5,at,Colorado State,
,,,Oregon State,-17.5,vs,Sam Houston,
,,,San Diego State,-2.5,at,Hawaii,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
